Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Club,Temperature,Wind,Win streak,Not lose streak,Last 5 games goals for,Last 5 games goals against
2022-02-19,15:00 (16:00),League One,Matchweek 34,Sat,Home,D,5,5,Cheltenham,48,5574,Joe Jacobson,3-4-1-2,Neil Hair,Match Report,,Wycombe Wanderers,3.1,14.6,0,2,5,5
2022-02-22,19:45 (20:45),League One,Matchweek 35,Tue,Home,L,1,3,Wigan Athletic,32,4826,Sam Vokes,4-3-1-2,Thomas Bramall,Match Report,,Wycombe Wanderers,7.9,19.6,0,3,8,10
2022-02-26,15:00 (16:00),League One,Matchweek 36,Sat,Away,L,2,3,Acc'ton Stanley,44,2242,Joe Jacobson,3-4-3,Robert Madley,Match Report,,Wycombe Wanderers,6.6,11.1,0,0,7,10
2022-03-01,19:45 (20:45),League One,Matchweek 24,Tue,Home,W,3,0,Cambridge Utd,42,4083,Jason McCarthy,4-3-2-1,James Oldham,Match Report,,Wycombe Wanderers,6.1,10.4,0,0,9,12
2022-03-05,15:00 (16:00),League One,Matchweek 37,Sat,Away,W,3,1,Crewe Alexandra,40,4031,Jason McCarthy,4-2-3-1,Andy Haines,Match Report,,Wycombe Wanderers,5.4,15.9,1,1,12,12
2022-03-12,15:00 (16:00),League One,Matchweek 38,Sat,Home,D,0,0,Rotherham Utd,54,5742,Joe Jacobson,4-2-3-1,Craig Hicks,Match Report,,Wycombe Wanderers,9.5,14.2,2,2,14,12
2022-03-15,19:45 (20:45),League One,Matchweek 40,Tue,Home,W,1,0,Fleetwood Town,55,3391,Joe Jacobson,4-2-3-1,Joshua Smith,Match Report,,Wycombe Wanderers,8.4,7.0,0,3,9,7
2022-03-19,15:00 (16:00),League One,Matchweek 39,Sat,Away,D,0,0,Portsmouth,49,15092,Joe Jacobson,4-2-3-1,Ben Speedie,Match Report,,Wycombe Wanderers,10.1,12.8,1,4,9,4
2022-04-02,15:00 (16:00),League One,Matchweek 41,Sat,Home,W,2,0,Doncaster,41,5943,Joe Jacobson,4-2-3-1,John Busby,Match Report,,Wycombe Wanderers,4.1,5.3,0,5,7,1
2022-04-05,19:45 (20:45),League One,Matchweek 31,Tue,Away,W,4,1,Cambridge Utd,42,4751,Joe Jacobson,4-2-3-1,Will Finnie,Match Report,,Wycombe Wanderers,10.6,27.4,1,6,6,1
2022-04-09,15:00 (16:00),League One,Matchweek 42,Sat,Away,D,1,1,Gillingham,54,4858,Joe Jacobson,4-2-3-1,Simon Mather,Match Report,,Wycombe Wanderers,4.9,12.9,2,7,7,1
2022-04-15,15:00 (16:00),League One,Matchweek 43,Fri,Home,W,2,0,Plymouth Argyle,42,8181,Joe Jacobson,4-2-3-1,Darren Drysdale,Match Report,,Wycombe Wanderers,14.1,6.2,0,8,8,2
2022-04-18,15:00 (16:00),League One,Matchweek 44,Mon,Away,D,1,1,AFC Wimbledon,58,8502,Jason McCarthy,4-2-3-1,Samuel Barrott,Match Report,,Wycombe Wanderers,10.9,8.0,1,9,9,2
2022-04-23,15:00 (16:00),League One,Matchweek 45,Sat,Home,W,1,0,Sheffield Weds,47,9005,Joe Jacobson,4-2-3-1,Andrew Davies,Match Report,,Wycombe Wanderers,10.9,24.1,0,10,10,3
2022-04-30,12:30 (13:30),League One,Matchweek 46,Sat,Away,W,2,1,Burton Albion,48,4440,Joe Jacobson,4-2-3-1,Robert Madley,Match Report,,Wycombe Wanderers,10.1,7.9,1,11,9,3
2022-05-05,19:45 (20:45),League One,Semi-finals,Thu,Home,W,2,0,MK Dons,49,8987,Joe Jacobson,4-2-3-1,Darren Bond,Match Report,Leg 1 of 2,Wycombe Wanderers,12.9,8.4,2,12,7,3
2022-05-08,18:30 (19:30),League One,Semi-finals,Sun,Away,L,0,1,MK Dons,32,13012,Joe Jacobson,4-2-3-1,Thomas Bramall,Match Report,Leg 2 of 2; Wycombe won,Wycombe Wanderers,12.5,5.9,3,13,8,2
2022-05-21,15:00 (16:00),League One,Final,Sat,Neutral,L,0,2,Sunderland,51,72332,Joe Jacobson,4-2-3-1,Simon Hooper,Match Report,,Wycombe Wanderers,13.5,10.8,0,0,6,3
2021-08-07,15:00 (16:00),League One,Matchweek 1,Sat,Away,W,1,0,Shrewsbury,37,5903,John Brayford,4-2-3-1,Anthony Backhouse,Match Report,,Burton Albion,15.2,11.8,0,0,0,0
2021-08-11,19:45 (20:45),EFL Cup,First round,Wed,Home,D,1,1,Oxford United,41,1868,John Brayford,4-2-3-1,Seb Stockbridge,Match Report,Oxford United won on penalty kicks following normal time,Burton Albion,16.5,8.7,0,0,1,0
2021-08-14,15:00 (16:00),League One,Matchweek 2,Sat,Home,W,2,1,Ipswich Town,35,3766,John Brayford,4-2-3-1,Sam Purkiss,Match Report,,Burton Albion,15.8,9.0,0,1,2,1
2021-08-17,19:45 (20:45),League One,Matchweek 3,Tue,Home,W,1,0,Sunderland,40,4239,John Brayford,4-2-3-1,Declan Bourne,Match Report,,Burton Albion,15.3,16.5,1,2,4,2
2021-08-21,15:00 (16:00),League One,Matchweek 4,Sat,Away,L,0,3,Cambridge Utd,49,4468,John Brayford,4-2-3-1,Ben Toner,Match Report,,Burton Albion,17.0,4.3,2,3,5,2
2021-08-27,19:45 (20:45),League One,Matchweek 5,Fri,Home,D,1,1,Cheltenham,56,2909,John Brayford,4-2-3-1,Scott Oldham,Match Report,,Burton Albion,15.2,10.2,0,0,5,5
2021-09-06,20:00 (21:00),League One,Matchweek 6,Mon,Away,D,0,0,Bolton,26,13305,John Brayford,4-2-3-1,Joshua Smith,Match Report,,Burton Albion,19.3,4.5,0,1,5,6
2021-09-11,15:00 (16:00),League One,Matchweek 7,Sat,Home,D,1,1,Gillingham,55,2555,Michael Bostwick,4-2-3-1,Carl Boyeson,Match Report,,Burton Albion,17.3,11.9,0,2,4,5
2021-09-18,15:00 (16:00),League One,Matchweek 8,Sat,Away,L,0,2,Crewe Alexandra,53,4482,John Brayford,4-2-3-1,Ross Joyce,Match Report,,Burton Albion,17.9,5.1,0,3,3,5
2021-09-25,15:00 (16:00),League One,Matchweek 9,Sat,Home,L,1,2,Lincoln City,54,3359,John Brayford,4-2-3-1,Craig Hicks,Match Report,,Burton Albion,18.3,4.9,0,0,2,7
2021-09-28,19:45 (20:45),League One,Matchweek 10,Tue,Home,W,2,1,Portsmouth,32,2810,John Brayford,4-2-3-1,Tom Nield,Match Report,,Burton Albion,11.6,9.5,0,0,3,6
2021-10-02,15:00 (16:00),League One,Matchweek 11,Sat,Away,D,1,1,AFC Wimbledon,41,7413,John Brayford,4-2-3-1,Lee Swabey,Match Report,,Burton Albion,10.5,9.5,1,1,4,6
2021-10-09,15:00 (16:00),League One,Matchweek 12,Sat,Away,L,1,2,Plymouth Argyle,41,11915,Deji Oshilaja,4-2-3-1,Anthony Coggins,Match Report,,Burton Albion,15.1,3.8,0,2,5,7
2021-10-15,19:45 (20:45),League One,Matchweek 13,Fri,Home,W,3,2,Morecambe,42,2477,Deji Oshilaja,4-2-3-1,Martin Coy,Match Report,,Burton Albion,10.4,7.3,0,0,5,8
